,UNITID_P,INSTNM,City,State,men_total15,women_total15,FORCIB13,NONFOR13,RAPE14,RAPE15,FONDL14,FONDL15,STATR14,STATR15,men_total14,women_total14,FORCIB12,NONFOR12,men_total13,women_total13,FORCIB11,NONFOR11,men_total12,women_total12,FORCIB10,NONFOR10,men_total11,women_total11,FORCIB9,NONFOR9,men_total10,women_total10,FORCIB8,NONFOR8,men_total9,women_total9,FORCIB7,NONFOR7,men_total8,women_total8,FORCIB6,NONFOR6,men_total7,women_total7,FORCIB5,NONFOR5,TITLE9
602,114789002.0,Fresno City College,Fresno,CA,10675.0,12022.0,,,0.0,,0.0,,0.0,,326.0,2816.0,,,11864.0,12437.0,,,10225.0,11405.0,,,1583.0,1978.0,,,659.0,1418.0,,,7.0,122.0,,,644.0,190.0,,,17.0,153.0,,,
6020,212878006.0,Harrisburg Area Community College-Harrisburg,Harrisburg,PA,6985.0,12136.0,0.0,0.0,,,,,,,355.0,17.0,0.0,0.0,9.0,16.0,0.0,0.0,7413.0,9038.0,0.0,0.0,4173.0,6700.0,0.0,0.0,19607.0,24493.0,0.0,0.0,593.0,224.0,0.0,0.0,19635.0,28534.0,,,37.0,215.0,,,
6021,212911001.0,Haverford College,HAVERFORD,PA,598.0,635.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,484.0,352.0,0.0,0.0,654.0,674.0,1.0,0.0,7413.0,9038.0,0.0,0.0,4173.0,6700.0,0.0,0.0,52.0,75.0,1.0,0.0,,,,,19635.0,28534.0,0.0,0.0,15.0,170.0,,,
6022,212975001.0,Commonwealth Technical Institute,JOHNSTOWN,PA,120.0,57.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,853.0,1402.0,1.0,0.0,799.0,1391.0,1.0,0.0,827.0,1559.0,1.0,0.0,103.0,860.0,0.0,0.0,6.0,86.0,0.0,0.0,784.0,1122.0,0.0,0.0,19635.0,28534.0,,,2874.0,4135.0,,,
6023,212984001.0,Holy Family University,PHILADELPHIA,PA,703.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,2822.0,0.0,0.0,799.0,1391.0,5.0,0.0,2421.0,2347.0,7.0,0.0,2583.0,3812.0,1.0,0.0,127.0,405.0,,,1525.0,2391.0,,,19635.0,28534.0,,,,,,,
6024,212984002.0,Holy Family University,Newtown,PA,703.0,2008.0,,,,,,,,,1117.0,2822.0,,,799.0,1391.0,0.0,0.0,2421.0,2347.0,0.0,0.0,2450.0,2990.0,0.0,0.0,95.0,18.0,0.0,0.0,1060.0,1629.0,0.0,0.0,19635.0,28534.0,,,3.0,89.0,,,
6025,212984003.0,Holy Family University,Bensalem,PA,703.0,2008.0,,,,,,,,,1117.0,2822.0,2.0,0.0,799.0,1391.0,3.0,0.0,857.0,1756.0,1.0,0.0,684.0,782.0,0.0,0.0,897.0,1057.0,,,3042.0,6086.0,1.0,0.0,19635.0,28534.0,0.0,0.0,2827.0,4733.0,0.0,0.0,
6026,212993001.0,Hussian College School of Art,PHILADELPHIA,PA,34.0,39.0,0.0,0.0,0.0,,0.0,,0.0,,189.0,93.0,0.0,0.0,85.0,3.0,,,21.0,101.0,,,684.0,782.0,0.0,0.0,897.0,1057.0,0.0,0.0,744.0,765.0,0.0,0.0,19635.0,28534.0,,,2827.0,4733.0,,,
6027,213002001.0,Brightwood Career Institute-Pittsburgh,Pittsburgh,PA,162.0,350.0,6.0,0.0,,,,,,,71.0,98.0,7.0,0.0,6209.0,9636.0,6.0,0.0,3.0,101.0,,,684.0,782.0,,,897.0,1057.0,,,71.0,305.0,,,19635.0,28534.0,,,2827.0,4733.0,,,
6028,213011001.0,Immaculata University,IMMACULATA,PA,758.0,2203.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4248.0,5750.0,3.0,0.0,20.0,75.0,0.0,0.0,214.0,174.0,0.0,0.0,876.0,1094.0,1.0,0.0,897.0,1057.0,,,4.0,104.0,,,19635.0,28534.0,,,2827.0,4733.0,,,
6029,213020001.0,Indiana University of Pennsylvania-Main Campus,INDIANA,PA,6110.0,7725.0,4.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,119.0,294.0,,,52.0,386.0,,,1054.0,1851.0,,,4006.0,6432.0,0.0,0.0,897.0,1057.0,0.0,0.0,2653.0,3574.0,0.0,0.0,19635.0,28534.0,,,,,,,
603,114813001.0,Fresno Pacific University,FRESNO,CA,1031.0,2311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,486.0,,,2774.0,3060.0,,,10225.0,11405.0,,,1583.0,1978.0,0.0,0.0,564.0,1116.0,0.0,0.0,92.0,47.0,0.0,0.0,8.0,140.0,0.0,0.0,277.0,837.0,0.0,0.0,
6030,213020002.0,Indiana University of Pennsylvania-Main Campus,PUNXSUTAWNEY,PA,6110.0,7725.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,80.0,1629.0,4.0,0.0,560.0,806.0,2.0,0.0,252.0,420.0,0.0,0.0,4006.0,6432.0,,,897.0,1057.0,,,2653.0,3574.0,,,19635.0,28534.0,,,,,,,
